OBJECTID,REF_NUMBER,TIME,SEVERITY,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,ACCIDENT_DESCRIPTION
1390,151503756,1355,1,1,1,1,0,0,0,5
1399,151503853,1513,1,2,1,0,0,1,0,2
1426,151504443,1400,1,1,1,1,0,0,0,5
1439,151504565,730,1,1,1,1,0,0,0,5
1440,151504572,2000,1,2,1,0,1,0,0,3
1444,151504621,1725,2,2,1,0,0,1,0,3
1450,151504735,1010,1,3,1,0,0,0,0,2
1507,151505364,1239,1,3,2,0,0,0,0,1
1517,151505453,1902,1,2,1,0,0,0,0,2
1521,151505526,1910,1,2,1,0,0,0,0,2
1522,151505540,1402,1,2,1,0,0,0,0,3
1526,151505174,1930,1,2,1,0,0,0,0,3
1537,151505629,1036,1,2,1,0,1,0,0,1
1549,151505727,2125,1,2,1,0,1,0,0,3
1550,151505729,1935,2,2,1,0,0,1,0,1
1667,151506906,1645,1,2,1,0,0,1,0,3
1681,151507010,900,1,2,1,0,0,0,0,1
1683,151507050,730,2,2,1,0,1,0,0,6
1684,151507055,1208,1,2,1,0,1,0,0,1
1690,151506665,830,1,2,1,0,0,1,0,3
1555,151505744,730,1,2,1,0,1,0,0,1
1557,151505785,1600,1,2,1,0,0,0,0,3
1565,151505846,1530,1,3,1,0,0,0,0,2
1570,151505929,652,1,2,2,0,0,0,0,3
1625,151506530,1955,1,2,2,0,0,0,0,3
1632,151506642,1150,1,1,1,1,0,0,0,5
1644,151506721,1725,1,1,1,1,0,0,0,5
1647,151506764,1445,1,2,1,0,0,0,0,2
1701,151507339,2238,3,2,1,0,0,0,0,5
1732,141507271,1029,1,2,1,0,0,0,0,2
1735,151507401,1015,1,2,1,0,1,0,0,3
1738,151507624,1527,1,2,2,0,0,1,0,6
1815,151508196,1242,1,2,1,0,0,1,0,1
1822,151508294,1146,1,2,1,0,0,0,0,3
1823,151508316,2259,1,1,1,1,0,0,0,5
1840,151508021,625,1,2,1,0,1,0,0,1
1847,151508511,1130,1,2,1,0,0,0,0,3
1852,151508575,853,1,2,1,0,0,1,0,1
1763,151507911,1610,2,1,1,1,0,0,1,5
1765,151507915,1905,1,3,1,0,0,0,0,4
1774,151507108,1410,2,2,1,0,1,0,0,3
1781,151507169,410,1,2,1,0,0,0,0,4
1783,151507211,2118,1,2,1,0,1,0,0,3
1786,151507235,730,1,2,1,0,0,0,0,4
1790,151507636,1500,1,2,1,0,0,0,0,2
1797,151507978,1720,1,2,1,0,1,0,0,3
1804,151508055,1240,1,2,3,0,0,0,0,1
1807,151507451,1240,1,3,2,0,0,1,0,1
1878,151508710,2308,1,1,1,1,0,0,0,5
2011,161601177,1830,1,2,1,0,1,0,0,1
1905,151508954,822,1,2,1,0,1,0,0,2
1909,151509209,1315,1,2,4,0,0,0,2,3
1912,151509249,1608,2,2,3,0,0,2,1,3
1920,151509113,1930,1,2,1,0,0,0,0,2
1925,151600063,1805,1,2,1,0,1,0,0,3
1939,151509230,2120,1,2,1,0,0,0,0,3
1943,151600249,1900,1,2,1,0,0,0,0,3
